x,y,z
5.034396171569824219e+00,4.966282844543457031e+00,0.000000000000000000e+00
5.134396076202392578e+00,4.966282844543457031e+00,0.000000000000000000e+00
5.234395980834960938e+00,4.966282844543457031e+00,0.000000000000000000e+00
5.334395885467529297e+00,4.966282844543457031e+00,0.000000000000000000e+00
5.434396266937255859e+00,5.066282749176025391e+00,0.000000000000000000e+00
5.534396171569824219e+00,5.166283130645751953e+00,0.000000000000000000e+00
5.634396076202392578e+00,5.266283035278320312e+00,0.000000000000000000e+00
5.734395980834960938e+00,5.266283035278320312e+00,0.000000000000000000e+00
5.834395885467529297e+00,5.266283035278320312e+00,0.000000000000000000e+00
5.934396266937255859e+00,5.266283035278320312e+00,0.000000000000000000e+00
6.034396171569824219e+00,5.266283035278320312e+00,0.000000000000000000e+00
6.134396076202392578e+00,5.266283035278320312e+00,0.000000000000000000e+00
6.234395980834960938e+00,5.366282939910888672e+00,0.000000000000000000e+00
6.334395885467529297e+00,5.466282844543457031e+00,0.000000000000000000e+00
6.434396266937255859e+00,5.566282749176025391e+00,0.000000000000000000e+00
6.534396171569824219e+00,5.666283130645751953e+00,0.000000000000000000e+00
6.634396076202392578e+00,5.766283035278320312e+00,0.000000000000000000e+00
6.734395980834960938e+00,5.866282939910888672e+00,0.000000000000000000e+00
6.834395885467529297e+00,5.966282844543457031e+00,0.000000000000000000e+00
6.934396266937255859e+00,6.066282749176025391e+00,0.000000000000000000e+00
7.034396171569824219e+00,6.166283130645751953e+00,0.000000000000000000e+00
7.134396076202392578e+00,6.266283035278320312e+00,0.000000000000000000e+00
7.234395980834960938e+00,6.366282939910888672e+00,0.000000000000000000e+00
7.334395885467529297e+00,6.366282939910888672e+00,0.000000000000000000e+00
7.434396266937255859e+00,6.366282939910888672e+00,0.000000000000000000e+00
7.534396171569824219e+00,6.366282939910888672e+00,0.000000000000000000e+00
7.634396076202392578e+00,6.366282939910888672e+00,0.000000000000000000e+00
7.734395980834960938e+00,6.366282939910888672e+00,0.000000000000000000e+00
7.834395885467529297e+00,6.266283035278320312e+00,0.000000000000000000e+00
7.934396266937255859e+00,6.166283130645751953e+00,1.478271484375000000e-01
8.034396171569824219e+00,6.066282749176025391e+00,1.500244140625000000e-01
8.134395599365234375e+00,5.966282844543457031e+00,3.000488281250000000e-01
8.234395980834960938e+00,5.866282939910888672e+00,3.000488281250000000e-01
8.334396362304687500e+00,5.866282939910888672e+00,3.000488281250000000e-01
8.434395790100097656e+00,5.766283035278320312e+00,4.499511718750000000e-01
8.534396171569824219e+00,5.766283035278320312e+00,4.499511718750000000e-01
8.634395599365234375e+00,5.666283130645751953e+00,5.673828125000000000e-01
8.734395980834960938e+00,5.566282749176025391e+00,6.000976562500000000e-01
8.834396362304687500e+00,5.566282749176025391e+00,6.000976562500000000e-01
8.934395790100097656e+00,5.466282844543457031e+00,7.500000000000000000e-01
9.034396171569824219e+00,5.466282844543457031e+00,7.500000000000000000e-01
9.134395599365234375e+00,5.466282844543457031e+00,7.500000000000000000e-01
9.234395980834960938e+00,5.366282939910888672e+00,8.999023437500000000e-01
9.334396362304687500e+00,5.266283035278320312e+00,8.999023437500000000e-01
9.434395790100097656e+00,5.166283130645751953e+00,1.049804687500000000e+00
9.534396171569824219e+00,5.066282749176025391e+00,1.049804687500000000e+00
9.634395599365234375e+00,4.966282844543457031e+00,1.176757812500000000e+00
9.734395980834960938e+00,4.866282939910888672e+00,1.200195312500000000e+00
9.834396362304687500e+00,4.866282939910888672e+00,1.200195312500000000e+00
9.934395790100097656e+00,4.766283035278320312e+00,1.349609375000000000e+00
1.003439617156982422e+01,4.766283035278320312e+00,1.349609375000000000e+00
1.013439559936523438e+01,4.666283130645751953e+00,1.349609375000000000e+00
1.023439598083496094e+01,4.566282749176025391e+00,1.500000000000000000e+00
1.033439636230468750e+01,4.466282844543457031e+00,1.500000000000000000e+00
1.043439579010009766e+01,4.366282939910888672e+00,1.650390625000000000e+00
1.053439617156982422e+01,4.266283035278320312e+00,1.650390625000000000e+00
1.063439559936523438e+01,4.166283130645751953e+00,1.799804687500000000e+00
1.073439598083496094e+01,4.066282749176025391e+00,1.799804687500000000e+00
1.083439636230468750e+01,3.966282844543457031e+00,1.950195312500000000e+00
1.093439579010009766e+01,3.866282939910888672e+00,1.950195312500000000e+00
1.103439617156982422e+01,3.766283035278320312e+00,2.099609375000000000e+00
1.113439559936523438e+01,3.666282892227172852e+00,2.099609375000000000e+00
1.123439598083496094e+01,3.566282987594604492e+00,2.191406250000000000e+00
1.133439636230468750e+01,3.466282844543457031e+00,2.250000000000000000e+00
1.143439579010009766e+01,3.366282939910888672e+00,2.250000000000000000e+00
1.153439617156982422e+01,3.266283035278320312e+00,2.250000000000000000e+00
1.163439559936523438e+01,3.166282892227172852e+00,2.250000000000000000e+00
1.173439598083496094e+01,3.066282987594604492e+00,2.250000000000000000e+00
1.173439598083496094e+01,2.966282844543457031e+00,2.250000000000000000e+00
1.173439598083496094e+01,2.866282939910888672e+00,2.250000000000000000e+00
1.173439598083496094e+01,2.766283035278320312e+00,2.250000000000000000e+00
1.173439598083496094e+01,2.666282892227172852e+00,2.250000000000000000e+00
1.173439598083496094e+01,2.566282987594604492e+00,2.250000000000000000e+00
