x,y,z
2.975463867187500000e-04,-2.956390380859375000e-05,0.000000000000000000e+00
1.002975478768348694e-01,9.997043758630752563e-02,0.000000000000000000e+00
1.002975478768348694e-01,1.999704390764236450e-01,0.000000000000000000e+00
2.002975493669509888e-01,2.999704480171203613e-01,0.000000000000000000e+00
3.002975583076477051e-01,3.999704420566558838e-01,0.000000000000000000e+00
3.002975583076477051e-01,4.999704360961914062e-01,0.000000000000000000e+00
3.002975583076477051e-01,5.999704599380493164e-01,0.000000000000000000e+00
3.002975583076477051e-01,6.999704241752624512e-01,0.000000000000000000e+00
3.002975583076477051e-01,7.999704480171203613e-01,0.000000000000000000e+00
3.002975583076477051e-01,8.999704122543334961e-01,0.000000000000000000e+00
3.002975583076477051e-01,9.999704360961914062e-01,0.000000000000000000e+00
3.002975583076477051e-01,1.099970459938049316e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.199970483779907227e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.299970388412475586e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.399970412254333496e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.499970436096191406e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.599970459938049316e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.699970483779907227e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.799970388412475586e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.899970412254333496e+00,0.000000000000000000e+00
3.002975583076477051e-01,1.999970436096191406e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.099970340728759766e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.199970483779907227e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.299970388412475586e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.399970531463623047e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.499970436096191406e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.599970340728759766e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.699970483779907227e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.799970388412475586e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.899970531463623047e+00,0.000000000000000000e+00
3.002975583076477051e-01,2.999970436096191406e+00,0.000000000000000000e+00
4.002975523471832275e-01,3.099970340728759766e+00,0.000000000000000000e+00
5.002975463867187500e-01,3.199970483779907227e+00,0.000000000000000000e+00
6.002975702285766602e-01,3.299970388412475586e+00,0.000000000000000000e+00
7.002975344657897949e-01,3.399970531463623047e+00,0.000000000000000000e+00
8.002975583076477051e-01,3.499970436096191406e+00,0.000000000000000000e+00
9.002975225448608398e-01,3.599970340728759766e+00,0.000000000000000000e+00
1.000297546386718750e+00,3.699970483779907227e+00,0.000000000000000000e+00
1.100297570228576660e+00,3.799970388412475586e+00,0.000000000000000000e+00
1.200297594070434570e+00,3.899970531463623047e+00,0.000000000000000000e+00
1.300297498703002930e+00,3.999970436096191406e+00,0.000000000000000000e+00
1.400297522544860840e+00,4.099970340728759766e+00,0.000000000000000000e+00
1.500297546386718750e+00,4.199970245361328125e+00,0.000000000000000000e+00
1.600297570228576660e+00,4.299970626831054688e+00,0.000000000000000000e+00
1.700297594070434570e+00,4.399970531463623047e+00,0.000000000000000000e+00
1.800297498703002930e+00,4.499970436096191406e+00,0.000000000000000000e+00
1.900297522544860840e+00,4.599970340728759766e+00,0.000000000000000000e+00
2.000297546386718750e+00,4.699970245361328125e+00,0.000000000000000000e+00
2.100297451019287109e+00,4.799970626831054688e+00,0.000000000000000000e+00
2.200297594070434570e+00,4.899970531463623047e+00,0.000000000000000000e+00
